Scalability Evaluation - Context sweep capability with 20 context set
Experiment executed on Wed Jan 21 16:00:32 BRST 2015
"Executing model 2 with 3500 nodes... Full sweep: 100.0%"
"Executing model 3 with 3500 nodes... Full sweep: 100.0%"
"Executing model 4 with 3500 nodes... Partial sweep: 51.49693288979766%"
"Executing model 5 with 3500 nodes... Full sweep: 100.0%"
"Executing model 6 with 3500 nodes... Full sweep: 100.0%"
"Executing model 7 with 3500 nodes... Full sweep: 100.0%"
"Executing model 8 with 3500 nodes... Full sweep: 100.0%"
"Executing model 9 with 3500 nodes... Partial sweep: 17.52983184301279%"
 3500 15 25793.0 78.71639149143957
"Executing model 0 with 3600 nodes... Full sweep: 100.0%"
"Executing model 1 with 3600 nodes... Full sweep: 100.0%"
"Executing model 2 with 3600 nodes... Partial sweep: 21.81768242439039%"
"Executing model 3 with 3600 nodes... Full sweep: 100.0%"
"Executing model 4 with 3600 nodes... Full sweep: 100.0%"
"Executing model 5 with 3600 nodes... Partial sweep: 13.971373638111514%"
"Executing model 6 with 3600 nodes... Full sweep: 100.0%"
"Executing model 7 with 3600 nodes... Partial sweep: 15.991698965422529%"
"Executing model 8 with 3600 nodes... Full sweep: 100.0%"
"Executing model 9 with 3600 nodes... Full sweep: 100.0%"
 3600 15 24633.0 75.17624439222388
"Executing model 0 with 3700 nodes... Partial sweep: 71.04098635822626%"
"Executing model 1 with 3700 nodes... Partial sweep: 45.6495864741966%"
"Executing model 2 with 3700 nodes... Full sweep: 100.0%"
"Executing model 3 with 3700 nodes... Partial sweep: 8.941923276467177%"
"Executing model 4 with 3700 nodes... Full sweep: 100.0%"
"Executing model 5 with 3700 nodes... Full sweep: 100.0%"
"Executing model 6 with 3700 nodes... Partial sweep: 8.301034577471237%"
"Executing model 7 with 3700 nodes... Full sweep: 100.0%"
"Executing model 8 with 3700 nodes... Partial sweep: 22.28156376842555%"
"Executing model 9 with 3700 nodes... Partial sweep: 9.36002685628834%"
 3700 15 18532.0 56.556901760918
"Executing model 0 with 3800 nodes... Full sweep: 100.0%"
"Executing model 1 with 3800 nodes... Full sweep: 100.0%"
"Executing model 2 with 3800 nodes... Full sweep: 100.0%"
"Executing model 3 with 3800 nodes... Partial sweep: 56.20899075289163%"
"Executing model 4 with 3800 nodes... Full sweep: 100.0%"
"Executing model 5 with 3800 nodes... Partial sweep: 14.111758781701104%"
"Executing model 6 with 3800 nodes... Full sweep: 100.0%"
"Executing model 7 with 3800 nodes... Partial sweep: 28.849147007660147%"
"Executing model 8 with 3800 nodes... Partial sweep: 13.26334421826838%"
"Executing model 9 with 3800 nodes... Partial sweep: 13.348796044801173%"
 3800 15 20505.0 62.57820368053224
"Executing model 0 with 3900 nodes... Partial sweep: 76.40003662221137%"
"Executing model 1 with 3900 nodes... Full sweep: 100.0%"
"Executing model 2 with 3900 nodes... Full sweep: 100.0%"
"Executing model 3 with 3900 nodes... Partial sweep: 10.403759880367442%"
"Executing model 4 with 3900 nodes... Full sweep: 100.0%"
"Executing model 5 with 3900 nodes... Partial sweep: 9.167760246589557%"
"Executing model 6 with 3900 nodes... Partial sweep: 35.111545152134774%"
"Executing model 7 with 3900 nodes... Full sweep: 100.0%"
"Executing model 8 with 3900 nodes... Full sweep: 100.0%"
"Executing model 9 with 3900 nodes... Full sweep: 100.0%"
 3900 15 23955.0 73.10708944975127
"Executing model 0 with 4000 nodes... Full sweep: 100.0%"
"Executing model 1 with 4000 nodes... Full sweep: 100.0%"
"Executing model 2 with 4000 nodes... Full sweep: 100.0%"
"Executing model 3 with 4000 nodes... Full sweep: 100.0%"
"Executing model 4 with 4000 nodes... Full sweep: 100.0%"
"Executing model 5 with 4000 nodes... Full sweep: 100.0%"
"Executing model 6 with 4000 nodes... Full sweep: 100.0%"
"Executing model 7 with 4000 nodes... Partial sweep: 49.84893337809381%"
"Executing model 8 with 4000 nodes... Partial sweep: 13.226722006897182%"
"Executing model 9 with 4000 nodes... Partial sweep: 49.55900753807184%"
 4000 15 26627.0 81.26163518173772
"Executing model 0 with 4100 nodes... Partial sweep: 33.680227057710496%"
